MERGE @ lap 1.00: Disabled. Cannot plan merge on first lap. Need valid SS that represent whole dataset.
MERGE @ lap 2.00: Disabled. Waiting for lap >= 5 (--m_startLap).
MERGE @ lap 3.00: Disabled. Waiting for lap >= 5 (--m_startLap).
MERGE @ lap 4.00: Disabled. Waiting for lap >= 5 (--m_startLap).
PLANNING merges at lap 4.20. K=16
   0/16 UIDs ineligible because on shortlist for births. 
   120/120 pairs eligible. 0 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   7,   13 : pair_score 1.027e+03, size 509. 517.
   4,   13 : pair_score 9.981e+02, size 480. 517.
   4,    7 : pair_score 9.892e+02, size 480. 509.
   6,   13 : pair_score 9.650e+02, size 446. 517.
   6,    7 : pair_score 9.561e+02, size 446. 509.
  10,   13 : pair_score 9.325e+02, size 414. 517.
   4,    6 : pair_score 9.271e+02, size 480. 446.
   7,   10 : pair_score 9.236e+02, size 509. 414.
  11,   13 : pair_score 9.172e+02, size 399. 517.
   7,   11 : pair_score 9.083e+02, size 509. 399.
   4,   10 : pair_score 8.946e+02, size 480. 414.
   4,   11 : pair_score 8.792e+02, size 480. 399.
   6,   10 : pair_score 8.615e+02, size 446. 414.
   6,   11 : pair_score 8.461e+02, size 446. 399.
  10,   11 : pair_score 8.137e+02, size 414. 399.
   9,   49 : pair_score 7.675e+02, size 378. 388.
  49,   50 : pair_score 7.117e+02, size 388. 323.
   0,   49 : pair_score 7.051e+02, size 316. 388.
   9,   50 : pair_score 7.018e+02, size 378. 323.
  14,   49 : pair_score 6.967e+02, size 307. 388.
   0,    9 : pair_score 6.952e+02, size 316. 378.
   9,   14 : pair_score 6.867e+02, size 378. 307.
   0,   50 : pair_score 6.394e+02, size 316. 323.
  14,   50 : pair_score 6.310e+02, size 307. 323.
   0,   14 : pair_score 6.244e+02, size 316. 307.
  15,   49 : pair_score 6.081e+02, size 219. 388.
   9,   15 : pair_score 5.982e+02, size 378. 219.
  15,   50 : pair_score 5.424e+02, size 219. 323.
   0,   15 : pair_score 5.359e+02, size 316. 219.
  14,   15 : pair_score 5.274e+02, size 307. 219.
   1,    3 : pair_score 2.060e+02, size 110. 95.9
   1,    2 : pair_score 1.904e+02, size 110. 80.2
   2,    3 : pair_score 1.762e+02, size 80.2 95.9
   1,    5 : pair_score 1.217e+02, size 110. 11.5
   3,    5 : pair_score 1.075e+02, size 95.9 11.5
   2,    5 : pair_score 9.188e+01, size 80.2 11.5
EVALUATING merges at lap 5.00
   7,   13 : rejected. changed_loss  2.807e-02   merged_size 1007  
   4,   13 : rejected. changed_loss  6.169e-02   merged_size 973.  
   4,    7 : rejected. changed_loss  6.270e-02   merged_size 993.  
   6,   13 : rejected. changed_loss  5.460e-02   merged_size 926.  
   6,    7 : rejected. changed_loss  4.499e-02   merged_size 946.  
  10,   13 : rejected. changed_loss  3.669e-02   merged_size 899.  
   4,    6 : rejected. changed_loss  5.897e-02   merged_size 912.  
   7,   10 : rejected. changed_loss  5.695e-02   merged_size 918.  
  11,   13 : rejected. changed_loss  4.293e-02   merged_size 881.  
   7,   11 : rejected. changed_loss  4.336e-02   merged_size 901.  
   4,   10 : rejected. changed_loss  3.680e-02   merged_size 884.  
   4,   11 : rejected. changed_loss  4.104e-02   merged_size 867.  
   6,   10 : rejected. changed_loss  4.916e-02   merged_size 837.  
   6,   11 : rejected. changed_loss  3.013e-02   merged_size 820.  
  10,   11 : rejected. changed_loss  3.120e-02   merged_size 793.  
   9,   49 : rejected. changed_loss  2.799e-02   merged_size 795.  
  49,   50 : rejected. changed_loss  3.345e-02   merged_size 761.  
   0,   49 : rejected. changed_loss  1.790e-02   merged_size 679.  
   9,   50 : rejected. changed_loss  3.298e-02   merged_size 722.  
  14,   49 : rejected. changed_loss  3.962e-02   merged_size 721.  
   0,    9 : rejected. changed_loss  2.204e-02   merged_size 640.  
   9,   14 : rejected. changed_loss  3.514e-02   merged_size 681.  
   0,   50 : rejected. changed_loss  4.226e-02   merged_size 606.  
  14,   50 : rejected. changed_loss  3.888e-02   merged_size 647.  
   0,   14 : rejected. changed_loss  5.232e-02   merged_size 566.  
  15,   49 : rejected. changed_loss  3.844e-02   merged_size 635.  
   9,   15 : rejected. changed_loss  3.021e-02   merged_size 596.  
  15,   50 : rejected. changed_loss  3.062e-02   merged_size 562.  
   0,   15 : rejected. changed_loss  4.511e-02   merged_size 480.  
  14,   15 : rejected. changed_loss  1.249e-02   merged_size 522.  
   1,    3 : rejected. changed_loss  4.791e-03   merged_size 263.  
   1,    2 : ACCEPTED. changed_loss -4.551e-04   merged_size 236.  
